bus_id,trips,numRecharge,numTrips,gapTime
1,"BC3,CB4",0,2,30.0
2,"CD3,DC3,CA4,CS1,AD5",1,5,85.0
3,"CA1,AC3,CS1,CA5",1,4,130.0
4,"AC2,CD5",0,2,35.0
5,"BA2,AB3,CS1,BA7",1,4,120.0
6,"BA6,AC4",0,2,30.0
7,"DA2,AB4",0,2,35.0
8,"CB1,BA5",0,2,220.0
9,"AC1,CA2,CS1,AB5",1,4,85.0
10,"CD1,DC2,CB3,CS1,BA8",1,5,255.0
11,"AD1,DA1,CS3,AB6",1,4,130.0
12,"AD2,DA3",0,2,30.0
13,"AB1,BA3,CS1,AD4,DA5",1,5,170.0
14,"CD2,DA4,CS2,AC5",1,4,335.0
15,"BA1,AB2,CS1,BC4",1,4,85.0
16,"BC2,CD4,CS3,DC5",1,4,50.0
17,"DC1,CA3,CS1,AB7",1,4,160.0
18,"BC1,CB2,BA4,CS3,AB8",1,5,275.0
19,"AD3,DC4",0,2,40.0
