bus_id,trips,numRecharge,numTrips,gapTime
1,"BA4,AB5",0,2,35.0
2,"CD1,DC1",0,2,90.0
3,"AB1,BA3,CS1,AB4,BA8",1,5,130.0
4,"BA1,AB2,BA5,CS1,AB8",1,5,185.0
5,"AC1,CA2,CS1,BA6,AC5",1,5,185.0
6,"CA1,AC3,CS1,CA5",1,4,130.0
7,"BA2,AB3,CS1,BA7",1,4,120.0
8,"AC2,CA4,CS1,AC4",1,4,140.0
9,"AD1,CS1,DA1,AB7",1,4,60.0
10,"CA3,AB6",0,2,40.0
