bus_id,trips,numRecharge,numTrips,gapTime
1,"CA3,AB6",0,2,40.0
2,"CD1,DC1",0,2,90.0
3,"BA4,AB5",0,2,35.0
4,"BA1,AB2,BA5",0,3,90.0
5,"AC1,CA2,CS2,BA6,AB8",1,5,150.0
6,"BA2,AC3,CS2,CA5,AC5",1,5,100.0
7,"CA1,AB3,CS1,BA7",1,4,175.0
8,"AB1,BA3,CS1,AB4,BA8",1,5,130.0
9,"AC2,CA4,CS2,AC4",1,4,130.0
10,"AD1,CS2,DA1,AB7",1,4,50.0
